dateTime,BTCUSDT_return,ETHUSDT_return,XRPUSDT_return,SOLUSDT_return,DOGEUSDT_return,ADAUSDT_return,TRUMPUSDT_return,SHIBUSDT_return,BNBUSDT_return,USDCUSDT_return,PEPEUSDT_return,LINKUSDT_return,AVAXUSDT_return,SUIUSDT_return,XLMUSDT_return,LTCUSDT_return,HBARUSDT_return,PENGUUSDT_return,DOTUSDT_return,UNIUSDT_return,OPUSDT_return,TRXUSDT_return,ARBUSDT_return,APTUSDT_return,TONUSDT_return,ATOMUSDT_return,BONKUSDT_return,AAVEUSDT_return,BCHUSDT_return,ONDOUSDT_return,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,ADAUSDT,TRUMPUSDT,SHIBUSDT,BNBUSDT,USDCUSDT,PEPEUSDT,LINKUSDT,AVAXUSDT,SUIUSDT,XLMUSDT,LTCUSDT,HBARUSDT,PENGUUSDT,DOTUSDT,UNIUSDT,OPUSDT,TRXUSDT,ARBUSDT,APTUSDT,TONUSDT,ATOMUSDT,BONKUSDT,AAVEUSDT,BCHUSDT,ONDOUSDT,BTCUSDT_value,ETHUSDT_value,XRPUSDT_value,SOLUSDT_value,DOGEUSDT_value,ADAUSDT_value,TRUMPUSDT_value,SHIBUSDT_value,BNBUSDT_value,USDCUSDT_value,PEPEUSDT_value,LINKUSDT_value,AVAXUSDT_value,SUIUSDT_value,XLMUSDT_value,LTCUSDT_value,HBARUSDT_value,PENGUUSDT_value,DOTUSDT_value,UNIUSDT_value,OPUSDT_value,TRXUSDT_value,ARBUSDT_value,APTUSDT_value,TONUSDT_value,ATOMUSDT_value,BONKUSDT_value,AAVEUSDT_value,BCHUSDT_value,ONDOUSDT_value,portfolio
2025-07-23 04:00:00,-0.03219862675386542,0.11522346368715297,0.06585729011567842,0.054612253003671896,0.16284794546486125,0.06815858230149185,0.2100073046019002,0.13192612137202797,-0.015052495578327107,0.010006003602169855,0.3566333808844524,0.061674461633343114,0.02744882754295297,0.10908721903697405,0.0,0.06690641465252334,0.17464328180736288,-1.1585392713977294,0.17893088794453949,0.15009380863040267,0.2674137272379973,0.018973531922972242,0.2119991520033837,0.07780227108533655,0.3172859845018028,0.05935892362485262,0.02707825616030668,0.022900513625812025,0.005713088686176704,0.23569939262078066,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,5.47575926062176e-10,-2.7084587017677143e-09,-1.7976308108832513e-09,-1.9995316760632924e-09,-7.385395093325333e-09,-2.786751652497242e-09,-8.792582779768955e-09,-4.521153636350651e-09,2.725724660277937e-11,-6.035329054914263e-12,-1.668985567846537e-08,-1.6679260403675025e-09,-9.93322834719369e-10,-3.545050864456527e-09,-0.0,-4.850472419159918e-10,-6.40307718192132e-09,-0.03139070719491622,-6.37431497777747e-09,-5.036339649125015e-09,-1.0450306739752683e-08,-1.5303007242801057e-10,-8.9292029995291e-09,-2.58857607794486e-09,-1.1875517531605804e-08,-1.7407464561467941e-09,-2.1032633883814772e-09,-8.79585001240463e-10,-1.2807110273391619e-10,-0.2293125413647039,-0.26070335802556044
2025-07-23 04:03:00,0.012563195402393035,-0.21113403389412255,-0.12590494176896172,-0.03473428273705892,-0.015124016938894425,-0.11352026336700627,-0.10933940774487949,-0.19762845849802257,0.03889146771380858,0.010005002501256577,-0.1421464108031345,-0.02568185320254157,-0.10192481085107286,-0.04814880514938391,-0.04068783861919112,0.06686167989971015,0.04822137319633324,-0.08022105356984,-0.06697923643670389,0.08430123641813836,-0.29210058420116036,0.09484966328368039,-0.16924053310768405,-0.09440074039795965,-0.11556474666989391,-0.11864741941862711,0.16242555495395994,-0.07522731732845234,0.08569143466505835,-0.1537487564438611,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,-2.1365207309468823e-10,4.962945853567626e-09,3.436682593055335e-09,1.2717347254180858e-09,6.85896528648448e-10,4.641422559679656e-09,4.5778207358557985e-09,6.77279536828828e-09,-7.042515446711902e-11,-6.0347252200897886e-12,6.652218240571298e-09,6.945408291696619e-10,3.6884723722495013e-09,1.564710924196524e-09,1.182136094516179e-09,-4.847229311816247e-10,-1.7679762496385723e-09,-0.0021735953762192606,2.386098649166232e-09,-2.8286953560383702e-09,1.1415048641262651e-08,-7.650052136313187e-10,7.128250568865089e-09,3.140827316806908e-09,4.32540749402724e-09,3.4794275615446735e-09,-1.2616164093055041e-08,2.8894033158750685e-09,-1.9209567950449133e-09,0.14958255801927026,-0.11329434116030165
2025-07-23 04:06:00,0.10976661526800324,0.1782440141735009,0.14898432799472783,0.23826069691252894,0.2911813643926786,0.23866348448686736,0.3648636322174603,0.26402640264027166,0.04765487835465265,-0.010004001600638635,0.284697508896814,0.23633374434854915,0.34925244280499257,0.2510014705136676,0.11782852735764404,0.17539463793534438,0.22245291413316437,1.0392506690454884,0.2680965147453085,0.20589611605053015,0.4203286205578971,0.0,0.27548209366392573,0.33719939229999163,0.09134088417974695,0.15838447832112745,0.29729729729730536,0.22257863899708408,0.06849445385186392,0.4438405797101419,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,-1.8667117844978233e-09,-4.189828493066323e-09,-4.066654092077501e-09,-8.723496732601115e-09,-1.3205505379357023e-08,-9.758064756138126e-09,-1.527610525586531e-08,-9.048275792353765e-09,-8.629404767993832e-11,6.034121506077609e-12,-1.3323375180759986e-08,-6.391417062705115e-09,-1.2638806738715715e-08,-8.156894894559035e-09,-3.42336579872935e-09,-1.2715475163215046e-09,-8.155957468258686e-09,0.028158573696659965,-9.550791643981837e-09,-6.908764474220195e-09,-1.642609398438912e-08,-0.0,-1.1603044228314747e-08,-1.1219033432172037e-08,-3.418746255470975e-09,-4.644747621918252e-09,-2.309212665573306e-08,-8.54901491107533e-09,-1.5354496871701853e-09,-0.4318136341482566,-0.5169496181359781
2025-07-23 04:09:00,-0.03823302777788973,-0.07460583696746736,-0.03719067372335294,-0.059423591165697065,-0.14705327853399286,0.05668934240361523,0.0,0.0,-0.09275740178996683,0.0,0.0,0.07688364941054182,0.011731581417184778,-0.005058041020711279,0.07489354417649086,-0.22511255627813975,-0.02589523527671833,-0.3134242705160384,0.04456327985740138,-0.12141589614270698,0.11415525114155667,0.0031586594649191113,0.0633981403212136,0.06278159391386318,0.14905396361866163,0.11860051393557391,0.08084074373484462,-0.15023351513765437,0.011407928510309695,0.16232302281540267,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,6.501980892438395e-10,1.7536951404779736e-09,1.0151511069643815e-09,2.175690368116789e-09,6.669083596002122e-09,-2.317816968719416e-09,-0.0,-0.0,1.6796625926019399e-10,-0.0,-0.0,-2.079243783151239e-09,-4.2454446153751414e-10,1.643731763558071e-10,-2.1759416283054434e-09,1.6319843935808945e-09,9.494163669217578e-10,-0.008492253777189013,-1.5875424613215388e-09,4.0740633964677594e-09,-4.461092565083773e-09,-2.5476009878095058e-11,-2.6702694768878693e-09,-2.088819900416816e-09,-5.578856440470009e-09,-3.478052021888417e-09,-6.279184877358154e-09,5.770313660116748e-09,-2.5573311819228693e-10,-0.15792448368201278,-0.6833663639958181
2025-07-23 04:12:00,0.01676493954090308,-0.02014250148383301,-0.10302787476389463,-0.12882766821920022,-0.0377614983762542,-0.04532577903682,0.018176860856145005,-0.13166556945358732,-0.16059419853456935,0.010005002501256577,-0.2129169623846794,-0.03072983354673875,-0.09384164222874247,-0.030349781228655726,-0.05986999657885406,-0.058494192362334996,0.007400555041625623,-0.18598884066955979,-0.022271714922061925,-0.009351037965221742,-0.07601672367921752,-0.08528111181300702,-0.06335797254487519,-0.22144307067724078,-0.12453300124534161,0.019743336623867513,0.35002692514809475,-0.12102181663559142,0.0019011045417460792,-0.26109660574413773,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,-2.851077272537511e-10,4.73472430644691e-10,2.812233569436022e-09,4.716798688754767e-09,1.7125397807660816e-09,1.8532030063779402e-09,-7.610285463972897e-10,4.512224432328999e-09,2.9080597630170193e-10,-6.0347252200897886e-12,9.964163659847854e-09,8.310585651071873e-10,3.3959572928027204e-09,9.86288945034389e-10,1.7394505664658612e-09,4.2406168109299533e-10,-2.71332081201122e-10,-0.005039381385782793,7.934176577299088e-10,3.1377045925117596e-10,2.970670533647784e-09,6.878305404849122e-10,2.6685776482858394e-09,7.367679983956072e-09,4.661075218543537e-09,-5.789886534620584e-10,-2.7187822297467824e-08,4.648322586771903e-09,-4.261732461163935e-11,0.2540215549100555,-0.43438416178087347
2025-07-23 04:15:00,0.09804582210242163,0.12302832337647285,0.20913310032659727,0.2629489978170252,0.22287700211542916,0.24940482938442532,0.26351658337120387,0.2636783124587927,0.13823263295467125,0.0,0.21337126600284861,0.24591423740971674,0.4696489374192758,0.3111796999519356,0.3915275994865297,0.10869565217392907,0.13690013690013103,0.6965394853593487,0.2004900868790349,0.2805573739829814,0.35501458095601457,0.21180412859989062,0.23245984784445728,0.1461068984649483,0.03649413052735362,0.3355704697986628,0.05366246310705147,0.08187057898874084,0.18630470324323412,0.35204910633688247,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,-1.6673857628979703e-09,-2.891920814996753e-09,-5.708466049275381e-09,-9.627415486573839e-09,-1.0107801563843039e-08,-1.0197238512876567e-08,-1.103290848632811e-08,-9.036346621895296e-09,-2.5031337464214076e-10,-0.0,-9.985424321995197e-09,-6.650512212189851e-09,-1.6995735541353716e-08,-1.0112530817583964e-08,-1.1375362345592745e-08,-7.880040586397775e-10,-5.019272048231618e-09,0.018872788842309935,-7.142349643316233e-09,-9.413994083688497e-09,-1.3873675470568556e-08,-1.7082956020934378e-09,-9.790988081922498e-09,-4.861154011484441e-09,-1.365918156009302e-09,-9.840864193921566e-09,-4.16815223680766e-09,-3.1445641131909576e-09,-4.176418413844664e-09,-0.34250947514815877,-0.7580210390197344
2025-07-23 04:18:00,-0.057558121922229866,-0.04614600380973277,-0.022870865376367622,0.004948290365680563,0.0716143379442924,0.06785027705529245,0.0,-0.06574621959237748,0.016314032577868787,0.0,0.0,0.015331936423579329,-0.05843169335048026,-0.06305170239596647,0.010655755173361037,-0.14198613547148353,-0.029559562518466365,-0.34806362074282227,0.06669630947087057,-0.10258323230439848,0.1642451042324744,-0.02523659305994075,0.0,0.14220022530424536,-0.024320544780198627,0.059020263623854596,-0.4558862965942656,0.006544288472221105,-0.07779886148007176,0.008995232526753938,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,9.78844289071459e-10,1.0847143591311097e-09,6.242797448833031e-10,-1.811729563303651e-10,-3.247816105728171e-09,-2.7741461943831144e-09,-0.0,2.2531455991808675e-09,-2.9541653524947654e-11,-0.0,-0.0,-4.146373609578726e-10,2.1145360465953e-09,2.0490163197625948e-09,-3.0959011911771115e-10,1.0293479894032263e-09,1.0837643355691286e-09,-0.00943080953203993,-2.3760195308169873e-09,3.4421406512659702e-09,-6.418562492883579e-09,2.03544478670473e-10,-0.0,-4.731174249363451e-09,9.102799052689066e-10,-1.7308149890551443e-09,3.541029197800005e-08,-2.513593397079293e-10,1.7440278855296258e-09,-0.008751484710845752,-0.7762033027995214
2025-07-23 04:21:00,0.047150747676139027,0.18762179311677674,0.06290926767893446,0.07916872835229682,0.026365348399237654,0.06780427166910297,0.1540692405292754,0.1315789473684159,0.03136802218346446,-0.010004001600638635,0.14194464158978626,0.20950434338273816,0.11693171188027485,0.06309148264984632,0.07884418683941075,-0.058548009367687115,-0.03326434062685957,-0.6211866654876608,0.1999555654298879,0.24271844660193054,0.20181634712412855,0.06941814969076976,0.189753320683117,0.12355696529340321,0.11250988262481165,0.19661816751868066,-0.13469827586205518,0.307561430487846,0.1101426156972174,0.05396654074474316,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,-8.018545176056714e-10,-4.410263864208542e-09,-1.71716202824495e-09,-2.8986238689589338e-09,-1.1957075303941023e-09,-2.772265204760704e-09,-6.450568725396281e-09,-4.5092558636233625e-09,-5.680160553092603e-11,6.034121506077609e-12,-6.642775773231902e-09,-5.6658419164740176e-09,-4.231544656388173e-09,-2.050309074538544e-09,-2.2907227876607683e-09,4.2445183486449533e-10,1.2195953845762139e-09,-0.016831098617990054,-7.123307609163375e-09,-8.144323522400953e-09,-7.88681551364978e-09,-5.598886131545746e-10,-7.992229705651144e-09,-4.110890339835423e-09,-4.211068716721933e-09,-5.765980200134902e-09,1.0462488811006229e-08,-1.181311588191848e-08,-2.469082316973555e-09,-0.052504185391557184,-0.8455386804668984
2025-07-23 04:24:00,-0.0032821652191428186,-0.008573181480864278,0.0943045752007654,-0.024720656580634603,0.03765485559363846,0.03387916431396576,-0.009048954845713997,0.0,-0.056444734333460644,0.010005002501256577,-0.07087172218285254,0.13767783386875454,0.050611227906260936,-0.03783102143758432,0.08516980730330914,0.016737802326560747,0.19595518911526,-0.28695362028696714,0.199556541019974,-0.09312721177128225,0.2895266868076396,0.015765907800990853,0.21043771043771642,0.06078131619178251,0.29158946633052185,0.1962323390894749,-0.10790396547073478,-0.08154744430309835,0.0834645370563658,0.017979144192725727,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,5.581712142880246e-11,2.0152239171290976e-10,-2.57412368001146e-09,9.051034001973499e-10,-1.7077033729058496e-09,-1.3851933820974318e-09,3.7886151008964387e-10,-0.0,1.0221082844034902e-10,-6.0347252200897886e-12,3.3166800370247334e-09,-3.7233635804765264e-09,-1.8315277143916474e-09,1.2294097918577011e-09,-2.474506063557303e-09,-1.2134299672755176e-10,-7.184451569611423e-09,-0.007775029552586481,-7.10909258289356e-09,3.1248475425865564e-09,-1.1314462865219065e-08,-1.2715914055821293e-10,-8.863436563295793e-09,-2.0222682305440334e-09,-1.0913737097076272e-08,-5.754665482316478e-09,8.381280489120137e-09,3.1321528447139344e-09,-1.8710361219927263e-09,-0.017491955327308295,-0.8708057135030124
2025-07-23 04:27:00,-0.054788709990993834,-0.08707883984191422,0.031405241820348095,-0.1681420305622905,-0.19196747845071638,-0.1467599909686257,-0.17194570135746767,-0.13140604467805073,0.2585373812422409,-0.010004001600638635,-0.21276595744680327,-0.061106018942869156,-0.12451846375345355,-0.169042512930484,0.09573449633015763,0.09204250690317828,-0.10701107011070743,-0.05354035604335783,0.06638636866562742,-0.4008202833706176,-0.21338019329734115,-0.0094580535325961,-0.35699286014280185,-0.2172072304237438,-0.009085677942999304,-0.0587544065804968,-0.5671077504725841,-0.13058239749280665,-0.11372036163075361,-0.035951824555091605,-1.700618881196354e-08,-2.350613855109876e-08,-2.7295851495342585e-08,-3.661324274478939e-08,-4.5351478474249016e-08,-4.08862913282198e-08,-4.1867985480012665e-08,-3.4270344563538894e-08,-1.8108124636837571e-09,-6.031707857476155e-10,-4.679835532241668e-08,-2.704403080619305e-08,-3.618816990142765e-08,-3.2497398831433834e-08,-2.9053794318742806e-08,-7.249637339484885e-09,-3.666374747231399e-08,0.02709507391755882,-3.562445283205223e-08,-3.3554612912293475e-08,-3.907917087013243e-08,-8.065449967316265e-09,-4.211905054878041e-08,-3.327121486088252e-08,-3.7428434004901113e-08,-2.9325775297885822e-08,-7.767351693291819e-08,-3.840896390415671e-08,-2.2417138918881993e-08,-0.9729025553054663,9.317471468707544e-10,2.0468872741929746e-09,-8.572328169035441e-10,6.156224980578938e-09,8.706008966713526e-09,6.000471746070136e-09,7.199020127785051e-09,4.503330428848585e-09,-4.68162712281609e-10,6.034121506077609e-12,9.957096877109688e-09,1.6525530587347694e-09,4.5060953221747375e-09,5.493441962169749e-09,-2.781450365584838e-09,-6.672747948650765e-10,3.923426851281065e-09,-0.0014506799045671975,-2.364978059219874e-09,1.3449369455896854e-08,8.338721034168682e-09,7.62834575553527e-11,1.5036200321908367e-08,7.2267484327655985e-09,3.4006269727933513e-10,1.7230185251402731e-09,4.40492534591214e-08,5.015534591819454e-09,2.549285144582101e-09,0.03497762197754243,-0.8372786196823199
